"year","ten_digit","region","province","muniCity","dot_region","dot_province","dot_municity","total","correspondence_code","pop_2020","id","traveler","count"
2019,401015000,"Region IV-A (CALABARZON)","Batangas","Lobo","Region IV-A (CALABARZON)","Batangas","Lobo",63052,41015000,40736,"041015000","overseas",NA
2019,401015000,"Region IV-A (CALABARZON)","Batangas","Lobo","Region IV-A (CALABARZON)","Batangas","Lobo",63052,41015000,40736,"041015000","domestic",62751
2019,401016000,"Region IV-A (CALABARZON)","Batangas","Mabini","Region IV-A (CALABARZON)","Batangas","Mabini",146237,41016000,50858,"041016000","foreign",50748
2019,401016000,"Region IV-A (CALABARZON)","Batangas","Mabini","Region IV-A (CALABARZON)","Batangas","Mabini",146237,41016000,50858,"041016000","overseas",NA
2019,401016000,"Region IV-A (CALABARZON)","Batangas","Mabini","Region IV-A (CALABARZON)","Batangas","Mabini",146237,41016000,50858,"041016000","domestic",95489
2019,401017000,"Region IV-A (CALABARZON)","Batangas","Malvar","Region IV-A (CALABARZON)","Batangas","Malvar",43988,41017000,64379,"041017000","foreign",10195
2019,401017000,"Region IV-A (CALABARZON)","Batangas","Malvar","Region IV-A (CALABARZON)","Batangas","Malvar",43988,41017000,64379,"041017000","overseas",NA
2019,401017000,"Region IV-A (CALABARZON)","Batangas","Malvar","Region IV-A (CALABARZON)","Batangas","Malvar",43988,41017000,64379,"041017000","domestic",33793
2019,401019000,"Region IV-A (CALABARZON)","Batangas","Nasugbu","Region IV-A (CALABARZON)","Batangas","Nasugbu",443943,41019000,136524,"041019000","foreign",13797
2019,401019000,"Region IV-A (CALABARZON)","Batangas","Nasugbu","Region IV-A (CALABARZON)","Batangas","Nasugbu",443943,41019000,136524,"041019000","overseas",NA
2019,401019000,"Region IV-A (CALABARZON)","Batangas","Nasugbu","Region IV-A (CALABARZON)","Batangas","Nasugbu",443943,41019000,136524,"041019000","domestic",430146
2019,401021000,"Region IV-A (CALABARZON)","Batangas","Rosario","Region IV-A (CALABARZON)","Batangas","Rosario",3875,41021000,128352,"041021000","foreign",171
2019,401021000,"Region IV-A (CALABARZON)","Batangas","Rosario","Region IV-A (CALABARZON)","Batangas","Rosario",3875,41021000,128352,"041021000","overseas",58
2019,401021000,"Region IV-A (CALABARZON)","Batangas","Rosario","Region IV-A (CALABARZON)","Batangas","Rosario",3875,41021000,128352,"041021000","domestic",3646
2019,401023000,"Region IV-A (CALABARZON)","Batangas","San Juan","Region IV-A (CALABARZON)","Batangas","San Juan",378173,41023000,114068,"041023000","foreign",1420
2019,401023000,"Region IV-A (CALABARZON)","Batangas","San Juan","Region IV-A (CALABARZON)","Batangas","San Juan",378173,41023000,114068,"041023000","overseas",NA
2019,401023000,"Region IV-A (CALABARZON)","Batangas","San Juan","Region IV-A (CALABARZON)","Batangas","San Juan",378173,41023000,114068,"041023000","domestic",376753
2019,401028000,"Region IV-A (CALABARZON)","Batangas","Sto. Tomas City","Region IV-A (CALABARZON)","Batangas","Sto. Tomas City",81967,41028000,218500,"041028000","foreign",26505
2019,401028000,"Region IV-A (CALABARZON)","Batangas","Sto. Tomas City","Region IV-A (CALABARZON)","Batangas","Sto. Tomas City",81967,41028000,218500,"041028000","overseas",NA
2019,401028000,"Region IV-A (CALABARZON)","Batangas","Sto. Tomas City","Region IV-A (CALABARZON)","Batangas","Sto. Tomas City",81967,41028000,218500,"041028000","domestic",55462
